Instance,Runtime,Optimal_Value,Dual_Bound,Primal_Bound
11,0.0,0.6238925770509622,"[0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554]","[0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554, 0.6238934175515554]"
12,0.0,0.4137030051211886,"[0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699, 0.6128781941669699]","[0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697, 0.61287819416697]"
13,0.0,0.2731844744414388,"[0.29935618771758, 0.29935618771758, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803]","[-inf, 0.0, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803, 0.29917068520107803]"
14,0.0,0.5126423069309727,"[0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780472, 0.5126429548780472]","[0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473, 0.5126429548780473]"
15,0.0,0.517109029022326,"[0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513]","[0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513, 0.5171097916937513]"
16,0.0,0.5098113012114991,"[0.5803473729663966, 0.5803473729663966, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123147, 0.5634031536123147, 0.5634031536123147, 0.5634031536123147, 0.5634031536123147, 0.5634031536123147, 0.5634031536123147, 0.5634031536123147]","[-inf, 0.0, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149, 0.5634031536123149]"
17,0.0,0.5095693203503778,"[0.5237840875670043, 0.5237840875670043, 0.509640433449824, 0.509640433449824, 0.509640433449824, 0.509640433449824, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239]","[-inf, 0.0, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239, 0.5096404334498239]"
18,0.0,0.5183689310494579,"[0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049866, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865]","[0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865, 0.5192165501049865]"
19,0.0,0.6429723658362192,"[0.6490464852023761, 0.6490464852023761, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654, 0.6429737470941654]","[-inf, 0.0, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655, 0.6429737470941655]"
20,0.0,0.6886703515737098,"[0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116, 0.6886713967992116]","[0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117, 0.6886713967992117]"
21,0.013000011444091797,0.49996552711639564,"[0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036]","[0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036, 0.49996679169333036]"
22,0.0,0.468214533614537,"[0.4722496658467603, 0.4722496658467603, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227, 0.4682156386225227]","[-inf, 0.0, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263, 0.46821563862252263]"
23,0.0,0.5684333388666631,"[0.5684347569654981, 0.5684347569654981, 0.5684347569654981, 0.5684347569654981, 0.5684347569654981, 0.5684347569654981, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498]","[0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498, 0.568434756965498]"
24,0.0,0.45955298669252664,"[0.46397873292887837, 0.46397873292887837, 0.46113817047717276, 0.46113817047717276, 0.46113817047717276, 0.46113817047717276, 0.46113817047717276, 0.46113817047717276, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727]","[-inf, 0.0, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727, 0.4611381704771727]"
25,0.0,0.44971426777584533,"[0.4777421360888802, 0.4777421360888802, 0.4628099259558829, 0.4628099259558829, 0.46246097155939364, 0.46246097155939364, 0.46246097155939364, 0.46246097155939364, 0.46246097155939364, 0.46246097155939364, 0.46246097155939364, 0.46246097155939364, 0.46246097155939364, 0.4624609715593936, 0.4624609715593936, 0.4624609715593936, 0.4624609715593936]","[-inf, 0.0, 0.0, 0.0, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937, 0.4624609715593937]"
26,0.0,0.4507631599155538,"[0.5504207042118356, 0.5504207042118356, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355]","[0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355, 0.5504207042118355]"
27,0.0,0.3713676468836055,"[0.3755361891288585, 0.3755361891288585, 0.3755361891288585, 0.3713707255124445, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443, 0.37137072551244443]","[-inf, 0.0, 0.0, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445, 0.3713707255124445]"
28,0.0,0.39858085713547825,"[0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714]","[0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714, 0.39858186074665714]"
29,0.0,0.5722701356312123,"[0.5782853247536812, 0.5782853247536812, 0.5782853247536812, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068, 0.5722708557427068]","[-inf, 0.0, 0.0, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066, 0.5722708557427066]"
30,0.0,0.35111009375639224,"[0.45860991620052577, 0.45860991620052577, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257]","[0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257, 0.4586099162005257]"
31,0.0,0.5837262646620509,"[0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178, 0.5852970225283178]","[0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318, 0.585297022528318]"
32,0.0,0.5732985723345906,"[0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816, 0.5875327959066816]","[0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817, 0.5875327959066817]"
33,0.0,0.5560684480737363,"[0.5595808731475072, 0.5595808731475072, 0.5583453308506808, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666933, 0.5560818730666933]","[-inf, 0.0, 0.0, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934, 0.5560818730666934]"
34,0.0,0.44077908094612916,"[0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615]","[0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615, 0.44249727979186615]"
35,0.0,0.4154608905602175,"[0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313, 0.6298634415132313]","[0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314, 0.6298634415132314]"
36,0.0,0.6229594427563151,"[0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193]","[0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193, 0.6229605602259193]"
37,0.0,0.45015487928621883,"[0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298, 0.6975114820498298]","[0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299, 0.6975114820498299]"
38,0.0,0.519707902500065,"[0.5327586369465036, 0.5327586369465036, 0.5327586369465036, 0.5233587535872279, 0.5233587535872279, 0.5228569447671954, 0.5226486324945636, 0.5226486324945635, 0.5226486324945635, 0.5226486324945635, 0.5226486324945635, 0.5226486324945635, 0.5226486324945635, 0.5226486324945635, 0.5226486324945635, 0.5226486324945635, 0.5226486324945635]","[-inf, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5226486324945636, 0.5226486324945636, 0.5226486324945636, 0.5226486324945636, 0.5226486324945636, 0.5226486324945636, 0.5226486324945636, 0.5226486324945636, 0.5226486324945636, 0.5226486324945636, 0.5226486324945636]"
39,0.0,0.6579069258270345,"[0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232]","[0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232, 0.6579081217391232]"
